0.676289, 0.735918, -0.0322309, 0, 0.736239, -0.673875, 0.0618595, 0, 0.0238044, -0.0655658, -0.997564, 0, 0.66577, -0.318765, 0.429972, 1, 
0.676264, 0.735942, -0.0322123, 0, 0.73626, -0.673845, 0.0619268, 0, 0.0238689, -0.0655968, -0.997561, 0, 0.665776, -0.318743, 0.43002, 1, 
0.676226, 0.735977, -0.0321988, 0, 0.736294, -0.673808, 0.0619248, 0, 0.0238799, -0.0655842, -0.997561, 0, 0.665787, -0.318715, 0.430026, 1, 
0.676211, 0.735992, -0.0321789, 0, 0.736307, -0.673794, 0.0619277, 0, 0.0238968, -0.065571, -0.997562, 0, 0.665794, -0.3187, 0.430031, 1, 
0.675539, 0.736633, -0.031603, 0, 0.736906, -0.673128, 0.0620394, 0, 0.0244278, -0.0651998, -0.997573, 0, 0.666039, -0.318117, 0.430243, 1, 
0.673836, 0.73825, -0.0302165, 0, 0.738421, -0.671442, 0.062294, 0, 0.0257005, -0.0642896, -0.9976, 0, 0.666681, -0.316628, 0.430715, 1, 
0.664388, 0.747008, -0.0234033, 0, 0.746643, -0.662027, 0.0649945, 0, 0.0330585, -0.0606567, -0.997611, 0, 0.67029, -0.308115, 0.433897, 1, 
0.647848, 0.761552, -0.0176465, 0, 0.760725, -0.645592, 0.0670028, 0, 0.0396345, -0.0568329, -0.997597, 0, 0.678153, -0.291484, 0.434896, 1, 
0.645871, 0.763235, -0.0174445, 0, 0.762443, -0.643701, 0.0656549, 0, 0.0388819, -0.0557061, -0.99769, 0, 0.680241, -0.286939, 0.433868, 1, 
0.648197, 0.761277, -0.0167069, 0, 0.760705, -0.646421, 0.058723, 0, 0.0339054, -0.0507741, -0.998134, 0, 0.68742, -0.270917, 0.42861, 1, 
0.659633, 0.7514, -0.0162312, 0, 0.751132, -0.658348, 0.0485705, 0, 0.0258105, -0.0442313, -0.998688, 0, 0.696431, -0.249882, 0.420459, 1, 
0.666717, 0.745044, -0.0194507, 0, 0.745157, -0.665856, 0.0368533, 0, 0.0145062, -0.0390653, -0.999131, 0, 0.705578, -0.226772, 0.410206, 1, 
0.66465, 0.746783, -0.0231367, 0, 0.74714, -0.664402, 0.0182441, 0, -0.00174774, -0.0294128, -0.999566, 0, 0.718636, -0.187625, 0.394845, 1, 
